idprop,propnam
140552,CAST_ResourceService.uri
140606,CAST_WebService_Operation.urlPatterns
140664,CAST_WebServiceLinker_Operation.urlPatterns
140665,CAST_WebServiceLinker_Resource.uri
140711,CAST_SOAP_OperationCall.operationFullName
140711,CAST_SOAP_OperationCall.operationFullName
140799,CAST_MQE_QueueCall.queueName
140800,CAST_MQE_QueueCall.messengingSystem
140801,CAST_MQE_QueueReceive.queueName
140802,CAST_MQE_QueueReceive.messengingSystem
140841,CAST_RabbitMQ_Exchange.exchangeName
140842,CAST_RabbitMQ_Exchange.routingKey
140843,CAST_RabbitMQ_Exchange.senderExchangeType
140845,CAST_RabbitMQ_Queue.consumerMethodName
140846,CAST_RabbitMQ_Queue.exchangeName
140847,CAST_RabbitMQ_Queue.exchangeType
140848,CAST_RabbitMQ_Queue.bindingKey
140849,CAST_RabbitMQ_Queue.queueName
140917,CAST_CallToJavaProgram.javaClassFullName
140918,CAST_CallToProgram.programName
140955,CAST_IBM_MQ_Publisher.queueName
140956,CAST_IBM_MQ_Publisher.topics
140957,CAST_IBM_MQ_Subscriber.queueName
140958,CAST_IBM_MQ_Subscriber.topics
140959,CAST_IBM_MQ_Publisher.queueManagerName
140960,CAST_IBM_MQ_Subscriber.queueManagerName
141058,CAST_AWS_SQS_Sender.queueName
141059,CAST_AWS_SQS_Receiver.queueName
141243,CAST_WebService_Operation.framework
1020146,CAST_AWS_Lambda.s3_events
1020920,CAST_AWS_Lambda.dynamodb_events